时间戳,本地时间,ADC值,电压(V),ESP32运行时间(ms)
174710,1970/1/1 08:02:54,4095,3.300,174710
174730,1970/1/1 08:02:54,4095,3.300,174730
174751,1970/1/1 08:02:54,4063,3.274,174751
174770,1970/1/1 08:02:54,3855,3.107,174770
174790,1970/1/1 08:02:54,3692,2.975,174790
174810,1970/1/1 08:02:54,3548,2.859,174810
174830,1970/1/1 08:02:54,3422,2.758,174830
174850,1970/1/1 08:02:54,3256,2.624,174850
174870,1970/1/1 08:02:54,3190,2.571,174870
174890,1970/1/1 08:02:54,3087,2.488,174890
174910,1970/1/1 08:02:54,2992,2.411,174910
174930,1970/1/1 08:02:54,2894,2.332,174930
174950,1970/1/1 08:02:54,2811,2.265,174950
174970,1970/1/1 08:02:54,2728,2.198,174970
174990,1970/1/1 08:02:54,2652,2.137,174990
175010,1970/1/1 08:02:55,2581,2.080,175010
175030,1970/1/1 08:02:55,3733,3.008,175030
175050,1970/1/1 08:02:55,3977,3.205,175050
175070,1970/1/1 08:02:55,4095,3.300,175070
175090,1970/1/1 08:02:55,4095,3.300,175090
175110,1970/1/1 08:02:55,4095,3.300,175110
175130,1970/1/1 08:02:55,4095,3.300,175130
175150,1970/1/1 08:02:55,4095,3.300,175150
175170,1970/1/1 08:02:55,4095,3.300,175170
175190,1970/1/1 08:02:55,4095,3.300,175190
175210,1970/1/1 08:02:55,4095,3.300,175210
175231,1970/1/1 08:02:55,4095,3.300,175231
175251,1970/1/1 08:02:55,4095,3.300,175251
175271,1970/1/1 08:02:55,4095,3.300,175271
175290,1970/1/1 08:02:55,4095,3.300,175290
175310,1970/1/1 08:02:55,4095,3.300,175310
175330,1970/1/1 08:02:55,4095,3.300,175330
175350,1970/1/1 08:02:55,4095,3.300,175350
175370,1970/1/1 08:02:55,4095,3.300,175370
175391,1970/1/1 08:02:55,4095,3.300,175391
175410,1970/1/1 08:02:55,4095,3.300,175410
175430,1970/1/1 08:02:55,4095,3.300,175430
175450,1970/1/1 08:02:55,4095,3.300,175450
175470,1970/1/1 08:02:55,4095,3.300,175470
175490,1970/1/1 08:02:55,4095,3.300,175490
175510,1970/1/1 08:02:55,3440,2.772,175510
175531,1970/1/1 08:02:55,3197,2.576,175531
175552,1970/1/1 08:02:55,3087,2.488,175552
175571,1970/1/1 08:02:55,2984,2.405,175571
175591,1970/1/1 08:02:55,2888,2.327,175591
175611,1970/1/1 08:02:55,2792,2.250,175611
175632,1970/1/1 08:02:55,2664,2.147,175632
175652,1970/1/1 08:02:55,2619,2.111,175652
175671,1970/1/1 08:02:55,2450,1.974,175671
175691,1970/1/1 08:02:55,2440,1.966,175691
175711,1970/1/1 08:02:55,3046,2.455,175711
175731,1970/1/1 08:02:55,3676,2.962,175731
175751,1970/1/1 08:02:55,3846,3.099,175751
175771,1970/1/1 08:02:55,3937,3.173,175771
175791,1970/1/1 08:02:55,3995,3.219,175791
175811,1970/1/1 08:02:55,4045,3.260,175811
175831,1970/1/1 08:02:55,4056,3.269,175831
175851,1970/1/1 08:02:55,4075,3.284,175851
175872,1970/1/1 08:02:55,4095,3.300,175872
175892,1970/1/1 08:02:55,4095,3.300,175892
175912,1970/1/1 08:02:55,4095,3.300,175912
175933,1970/1/1 08:02:55,4095,3.300,175933
175953,1970/1/1 08:02:55,4095,3.300,175953
175972,1970/1/1 08:02:55,4095,3.300,175972
175992,1970/1/1 08:02:55,4095,3.300,175992
176012,1970/1/1 08:02:56,4095,3.300,176012
176032,1970/1/1 08:02:56,4095,3.300,176032
176052,1970/1/1 08:02:56,4095,3.300,176052
176072,1970/1/1 08:02:56,4095,3.300,176072
176093,1970/1/1 08:02:56,3907,3.148,176093
176112,1970/1/1 08:02:56,3697,2.979,176112
176132,1970/1/1 08:02:56,3485,2.808,176132
176153,1970/1/1 08:02:56,3398,2.738,176153
176157,1970/1/1 08:02:56,3398,2.738,176157
